"query","search interest","increase percent"
"iran",4,"350%"
"claude",2,"250%"
"gemini",3,"150%"
"claude ai",0,"150%"
"chatgpt",16,"130%"
"london marathon 2026",0,"120%"
"chat got",1,"100%"
"chat gbt",1,"90%"
"product",4,"90%"
"chat gpt",8,"60%"
"michael jackson",1,"60%"
"psg",2,"60%"
"football games today",0,"40%"
"roblox",6,"30%"
"weather tomorrow",11,"30%"
"pound to inr",1,"30%"
"psg vs bayern",0,"30%"
"bet365",3,"30%"
"gmail login",2,"30%"
"premier league table",3,"30%"
"m&s",8,"20%"
"next",24,"20%"
"primark",5,"20%"
"west ham",3,"20%"
"chelsea",8,"20%"
"canva",3,"20%"
"arsenal",11,"20%"
"pmt",1,"20%"
"lego",7,"20%"
"vinted",4,"20%"
"vue cinema",2,"20%"
"uc login",1,"10%"
"leeds united",3,"10%"
"adidas",6,"10%"
"linkedin",6,"10%"
"lidl",5,"10%"
"fa cup",2,"10%"
"earth day",0,"10%"
"tfl",3,"10%"
"companies house",4,"10%"
"weather",100,"10%"
"football today",4,"10%"
"maps",13,"10%"
"premier league",13,"10%"
"youtube",39,"10%"
"mot check",4,"10%"
"cex",3,"10%"
"hmrc",5,"9%"
"tesco",20,"9%"
"premier league games",1,"9%"
