"query","search interest","increase percent"
"2026",100,"4,350%"
"ipl 2026",1,"1,050%"
"google gemini",3,"600%"
"gemini ai",5,"550%"
"gemini",17,"450%"
"iran",8,"450%"
"product",10,"300%"
"claude",4,"300%"
"claude ai",1,"200%"
"チャット gpt",1,"170%"
"psg",5,"140%"
"copilot",2,"130%"
"chatgpt",43,"110%"
"gpt",25,"60%"
"chat gpt",18,"60%"
"michael jackson",1,"60%"
"news",45,"50%"
"psl",1,"50%"
"linkedin",9,"50%"
"flamengo",5,"50%"
"weather tomorrow",11,"40%"
"arsenal",6,"40%"
"الطقس غدًا",2,"40%"
"poki",6,"40%"
"deepseek",2,"40%"
"chat",27,"40%"
"الطقس",5,"40%"
"tiempo de mañana",6,"40%"
"f1",6,"40%"
"weather",72,"40%"
"skyscanner",2,"30%"
"clima para amanhã",3,"30%"
"wetter morgen",1,"30%"
"roblox",10,"30%"
"drive",14,"30%"
"погода завтра",3,"30%"
"météo demain",2,"30%"
"tiktok",17,"30%"
"yt",8,"30%"
"new balance",3,"30%"
"pinterest",7,"30%"
"dc vs pbks",0,"30%"
"local guide program",5,"30%"
"youtube",99,"30%"
"discord",5,"30%"
"betway",2,"30%"
"vinted",2,"30%"
"cuaca",4,"30%"
"barcelona",12,"20%"
"météo",7,"20%"
